"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"arrez","gebroken","broken","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"arric","de veer","the feather","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"Arrima","Aanmeren","Mooring","B2","ww","B2","vervoer & reizen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::verv"
"arristuran","restaurant","restaurant","C1","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"arruz","Rijst","Rice","B2","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"arruḏ","kleren, kleding","clothes, garments","B2","ww","A1","kleding & sieraad","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::kled"
"arruḥ","de ziel of geest","the soul or spirit","B2","znw_m_ev","B1","religie & leven-dood","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"arrḇeḥ","de overwinning","the victory","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"arrḇiɛ","de lente","Grass","B2","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"aru","verwekken","beget","B1","ww","B2","familie & mensen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::fam"
"aryiyi","Bibberen","Shivering","B2","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"as","komen","come","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"asaaḏun","muildier","mule","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"Asegbar","Acteur","Actor","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"aseggwas / ɛam","Jaar","Year","C1","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"asekcuṭ","bovenste deel couscouspan","upper part of couscous pan","B2","znw_m_ev","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"asemmam","zuur","sour","C1","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"asemmaḏ","koud","cold","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"asemmiḏ","de kou","the cold","B2","znw_m_ev","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"asemmiḏ / rɛawin","Wind","Wind","B2","znw_m_ev","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"asennan","doorn","thorn","B2","znw_m_ev","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"aseymi","baby","baby","B2","znw_m_ev","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"aseřɣaɣ / lɛaṣir","sap","juice","B2","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aseḏḥi / ḥecma","Schaamte","Shame","B2","znw_m_ev","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::gev"
"aseḥḥaa","de tovenaar of heks","the wizard or witch","B2","znw_m_ev","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"asfeḏ","de lamp of fakkel","the lamp or torch","B2","znw_m_ev","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"asiwan","de havik","the hawk","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"asiynu","de wolk","the cloud","B2","znw_m_ev","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"aspanyu","Spanjaard","Spaniard","C1","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aspiraṯor","(stof)zuigen","to vacuum","C1","znw_m_ev","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"assam","de bliksemschicht","the lightning bolt","B2","znw_m_ev","B2","natuur & weer","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"asřem","vis","fish","B2","znw_m_ev","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"asřif","de zwager of schoonzus","the brother-in-law or sister-in-law","B2","znw_m_ev","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"asřix","het bont","the fur","B2","znw_m_ev","B1","kleding & sieraad","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"atay","thee","tea","A1","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"atijari","de koopman","the merchant","B2","znw_m_ev","B1","handel & geld","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"attas","vaak, voor lange tijd, veel, een hoop","often, for a long time, a lot","C1","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"attaw","groot oog","big eye","B1","znw_m_ev","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"awař","woord, gesprek","word, conversation","B1","znw_m_ev","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"awaṛ","Afspraak","Appointment","B1","znw_m_ev","A2","tijd","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"awessaa","oude man","old man","C1","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"awezwiz","het stuk","the piece","B2","znw_m_ev","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
"aweḏ","aankomen","arrive","B1","ww","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::verv"
"awi","brengen","to take","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"awi-ḏ","Halen","To fetch","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"awiḏ kicc","Meenemen","Take away","C1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"awmaṯen","het broer of zus","the brother or sister","B2","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"awraɣ","geel","yellow","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"awrud","hierheen, naar hier","over here, over here","B2","znw_m_ev","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"awṯem","mannelijk","male","B2","znw_m_ev","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"axeddam","Arbeider, bediende","Worker, employee","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"axeddam","werknemer","employee","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"axenza","de steenpuist","the boil","B2","znw_m_ev","B2","gezondheid","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::gez"
"axeyyaḏ","de kleermaker","the tailor","B2","znw_m_ev","B1","werk & beroep & ambacht","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"axmaa","het spinnenweb","the spider web","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"axwwan","Inbreker","Burglar","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"axřuř","het snot","the snot","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"axḇuc","de greppel, het gat","the ditch, the hole","B2","znw_m_ev","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"aɣ","presentatief partikel ('hier!')","presentational particle ('here!')","C2","ww","B2","functiewoorden","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::gram"
"ayaaziz","de haas","the hare","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"ayawya","elkaar","each other","B2","znw_m_ev","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::gram"
"ayaṛṛaf","waterkruik","water jug","B2","znw_m_ev","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"ayem","water halen","to fetch water","B1","znw_m_ev","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"ayemmaḏ","tegenoverliggende kant","opposite side","B2","znw_m_ev","B2","plaats & richting & geografie","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"ayencic","Lip","Lip","B2","znw_m_ev","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"ayenduz","de os","the ox","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"ayezzim","de wond","the wound","B2","znw_m_ev","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::gez"
"ayeř (1)","ophangen","to hang","C1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"Ayidar/faču","Adelaar","Eagle","B1","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"ayirin","daarheen","over there","B2","ww","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::pl"
"ayraḏ","leeuw","lion","B2","znw_m_ev","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aysum","vlees","meat","C2","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"ayujiř","wees","orphan","B2","znw_m_ev","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"ayyaw","kleinkind, kleinzoon","grandchild","B1","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"ayyaw / yeǧis n ɛzizi","Neef (vaderszijde)","nephew (paternal side)","B1","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"ayṯ","die van (stam-affiliatie)","that of (tribal affiliation)","B1","znw_m_ev","A2","functiewoorden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::gram"
"azeřmaḏ","links","left","B2","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"azeǧif","hoofd","head","B2","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"azeɛɛam","dapper","brave","B2","znw_m_ev","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"azeɣ","drogen","dry","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"aziyza","blauw","blue","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aziyza","rauw","raw","B2","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aziza","groen, blauw","green, blue","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"azizun","stom","stupid","B2","znw_m_ev","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aziḏan / rqabus","het geweer","the gun","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"azu","villen","to skin","B1","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"azul","Hoi","Hi","B1","znw_m_ev","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"azwaa","de ader, slagader, de pees","the vein, artery, the tendon","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"azyen","helft","half","B2","znw_m_ev","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::get"
"azyen n nnhaa","het middaguur","the noon","C2","znw_m_ev","B1","tijd","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"azzeř","rennen, stromen","to run, to flow","C2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"Azɣenɣan","Zeghanghane (dorp bij Nador)","Zeghanghane (village near Nador)","C1","znw_m_ev","B2","plaats & richting & geografie","check","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"azḏaḏ","dun","thin","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"azḏuz","de stamper","the pestle","B2","znw_m_ev","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"azṛu","steen","stone","B1","ww","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::nat"
"ařef","duizend","thousand","B2","znw_m_ev","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::get"
"ařeqqaɣ","glad","smooth","B2","znw_m_ev","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aři","klimmen","to climb","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"aři / geɛɛeḏ","omhoog gaan, beklimmen","to go up, to climb","B1","znw_m_ev","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::doen"
"ařiyzim","de schoffel, het anker","the hoe, the anchor","B2","znw_m_ev","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"ařmi","tot (voegwoord)","to (conjunction)","B1","znw_m_ev","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::gram"
"ařɣem","kameel","camel","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aǧenna","hemel, lucht","the air","B2","znw_m_ev","A2","natuur & weer","check","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"aǧun","grote tamboerijn","large tambourine","B1","znw_m_ev","B2","muziek & kunst","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::muz"
"aɛaayan","naakt","naked","B2","znw_m_ev","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aɛecci","middag","afternoon","B2","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"aɛeddis","buik","belly","C1","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aɛeffan","lelijk, slecht","ugly, bad","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aɛejmi","Kalf","Calf","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aɛekkaz","de wandelstok","the walking stick","B2","znw_m_ev","B1","gereedschap & materiaal","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::ger"
"aɛeskari","de soldaat","the soldier","C1","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aɛessas","de bewaker","the guard","B2","znw_m_ev","B1","werk & beroep & ambacht","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"aɛezri","de jonge man","the young man","B2","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"aɛna","Betekenen","Mean","B1","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"aɛrab","Arabier (M)","Arab (M)","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aɛrua","de achterkant, rug","the back","B2","znw_m_ev","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"aɛrua n titt","het ooglid","the eyelid","C2","znw_m_ev","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aɛjeb","Bevallen (leuk vinden)","Like (like)","B2","ww","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::fam"
"aɛřa","hoog, ondiep","high, shallow","B1","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aɛḇan","de weegschaal","the scale","B2","znw_m_ev","B1","handel & geld","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"aɣaaḏa","de muis of rat","the mouse or rat","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aɣarraf","de kruik","the jug","B2","znw_m_ev","B1","huis & huishouden","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"aɣarraḇu","het schip","the ship","C1","znw_m_ev","A1","vervoer & reizen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::verv"
"aɣarri","het bedrog","the deception","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aɣenja","pollepel","ladle","B2","znw_m_ev","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aɣesmia","de kaak","the jaw","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aɣezḏis","de rand","the edge","B2","znw_m_ev","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"aɣi","melk","milk","B1","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aɣrum","brood","bread","A1","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aɣrum n tḇaɣřa","de paddenstoel","the mushroom","C2","znw_m_ev","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
